,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Mecp2,101,0.18738404452690166,26,0.04823747680890538,75,0.1391465677179963,1132.0,0.06211902447043677,LPS_D03_MoM
Mfge8,31,0.0575139146567718,31,0.0575139146567718,0,0.0,0.0,0.0479800012712854,LPS_D03_MoM
Knstrn,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.022525637202639913,LPS_D03_MoM
Camta2,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.05048025430844749,LPS_D03_MoM
Hist1h2ae,21,0.03896103896103896,21,0.03896103896103896,0,0.0,0.0,0.026377236562159685,LPS_D03_MoM
Hivep3,13,0.02411873840445269,0,0.0,13,0.02411873840445269,0.0,0.012506423301480328,LPS_D03_MoM
Yeats4,23,0.04267161410018553,23,0.04267161410018553,0,0.0,0.0,0.042856690787882026,LPS_D03_MoM
Purb,35,0.06493506493506493,35,0.06493506493506493,0,0.0,0.0,0.05521995866902612,LPS_D03_MoM
Rel,72,0.13358070500927643,42,0.07792207792207792,30,0.055658627087198514,1141.0,0.058172338803934964,LPS_D03_MoM
Pimreg,7,0.012987012987012988,7,0.012987012987012988,0,0.0,0.0,0.006713014081460092,LPS_D03_MoM
Npas2,43,0.07977736549165121,0,0.0,43,0.07977736549165121,0.0,0.026386054189617456,LPS_D03_MoM
Patz1,58,0.10760667903525047,5,0.00927643784786642,53,0.09833024118738404,1738.0,0.03440343122138945,LPS_D03_MoM
Mis18bp1,16,0.029684601113172542,16,0.029684601113172542,0,0.0,0.0,0.030250470067057004,LPS_D03_MoM
Ncor1,42,0.07792207792207792,42,0.07792207792207792,0,0.0,0.0,0.06327069208987555,LPS_D03_MoM
Irf9,43,0.07977736549165121,31,0.0575139146567718,12,0.022263450834879406,519.0,0.046260179349496576,LPS_D03_MoM
Nr2c1,9,0.016697588126159554,4,0.0074211502782931356,5,0.00927643784786642,6.0,0.023811603197081276,LPS_D03_MoM
Cbfb,20,0.03710575139146568,19,0.03525046382189239,1,0.0018552875695732839,1.0,0.020948349290485814,LPS_D03_MoM
Dhfr,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.020049909707081058,LPS_D03_MoM
G0s2,24,0.04452690166975881,24,0.04452690166975881,0,0.0,0.0,0.05373412670677606,LPS_D03_MoM
Cfh,8,0.014842300556586271,8,0.014842300556586271,0,0.0,0.0,0.014007908856387693,LPS_D03_MoM
Hells,11,0.02040816326530612,11,0.02040816326530612,0,0.0,0.0,0.014351574044329803,LPS_D03_MoM
Ikzf1,42,0.07792207792207792,37,0.0686456400742115,5,0.00927643784786642,1587.0,0.04613436048231323,LPS_D03_MoM
Zfp691,15,0.027829313543599257,10,0.01855287569573284,5,0.00927643784786642,227.0,0.019937905602244288,LPS_D03_MoM
Jarid2,43,0.07977736549165121,43,0.07977736549165121,0,0.0,0.0,0.07120485256945842,LPS_D03_MoM
Cdca3,39,0.07235621521335807,39,0.07235621521335807,0,0.0,0.0,0.04740456622411695,LPS_D03_MoM
Mcm6,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.022926166734355345,LPS_D03_MoM
Hmmr,25,0.04638218923933209,25,0.04638218923933209,0,0.0,0.0,0.024119094902154067,LPS_D03_MoM
Zfp207,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.038951813701980115,LPS_D03_MoM
Epas1,21,0.03896103896103896,16,0.029684601113172542,5,0.00927643784786642,31.0,0.0202671330687129,LPS_D03_MoM
Tcf25,41,0.07606679035250463,41,0.07606679035250463,0,0.0,0.0,0.043400480701470324,LPS_D03_MoM
Pbrm1,41,0.07606679035250463,41,0.07606679035250463,0,0.0,0.0,0.045561566121569565,LPS_D03_MoM
Lrrfip2,24,0.04452690166975881,24,0.04452690166975881,0,0.0,0.0,0.032366918813162913,LPS_D03_MoM
Rfx4,2,0.0037105751391465678,0,0.0,2,0.0037105751391465678,0.0,0.0023684424585656725,LPS_D03_MoM
Rad51ap1,3,0.0055658627087198514,3,0.0055658627087198514,0,0.0,0.0,0.0024816130771538746,LPS_D03_MoM
Aspm,36,0.06679035250463822,36,0.06679035250463822,0,0.0,0.0,0.04116832845206309,LPS_D03_MoM
Spc25,28,0.05194805194805195,28,0.05194805194805195,0,0.0,0.0,0.031222319265121513,LPS_D03_MoM
Dtl,6,0.011131725417439703,6,0.011131725417439703,0,0.0,0.0,0.0057036189313854424,LPS_D03_MoM
Akna,27,0.05009276437847866,27,0.05009276437847866,0,0.0,0.0,0.021306357883347893,LPS_D03_MoM
Xpa,15,0.027829313543599257,15,0.027829313543599257,0,0.0,0.0,0.025755127857446703,LPS_D03_MoM
Aebp2,31,0.0575139146567718,31,0.0575139146567718,0,0.0,0.0,0.03488841357076969,LPS_D03_MoM
Nanog,7,0.012987012987012988,0,0.0,7,0.012987012987012988,0.0,0.007767130156357584,LPS_D03_MoM
Gmeb2,12,0.022263450834879406,3,0.0055658627087198514,9,0.016697588126159554,36.0,0.007333822792252736,LPS_D03_MoM
Ncaph,17,0.03153988868274583,17,0.03153988868274583,0,0.0,0.0,0.015573703542134954,LPS_D03_MoM
Fbxo5,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.020143327950687337,LPS_D03_MoM
Cit,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.026875487432962374,LPS_D03_MoM
Mbd3,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.025450378704018606,LPS_D03_MoM
