,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,-2.3878265e-05,2.3878265e-05,0.015383369707632846,1.8129485224581292
1,Maz,2410017I17Rik,9.5674965e-05,9.5674965e-05,7.720159278016978e-05,4.112373739450497
2,Gtf2i,2410017I17Rik,-0.00012801708,0.00012801708,3.9036955820124164e-15,14.408524056837045
4,Tfdp1,2410017I17Rik,2.19714e-05,2.19714e-05,0.04179370803893089,1.3788890954894009
5,Nr4a3,2410017I17Rik,3.9154816e-05,3.9154816e-05,8.742737956460466e-08,7.058352538398607
7,Egr1,2410017I17Rik,-4.0642874e-05,4.0642874e-05,2.3323668934648345e-05,4.632203131754329
8,Nr2c2,2410017I17Rik,-4.2230717e-05,4.2230717e-05,0.00014703065995040615,3.832592093422836
9,Sp2,2410017I17Rik,3.0683084e-05,3.0683084e-05,8.351788052727893e-06,5.078220535498265
10,Nfkb1,2410017I17Rik,3.3387492e-05,3.3387492e-05,0.000495715036527272,3.3047679074378413
11,Sp3,2410017I17Rik,-5.353065e-05,5.353065e-05,2.8619185798959743e-06,5.543342725853979
12,Gabpa,2410017I17Rik,-9.682019e-05,9.682019e-05,4.123071652409447e-11,10.38477911778762
13,Prdm1,2410017I17Rik,-5.888722e-05,5.888722e-05,1.7720560948199008e-08,7.751522534545382
17,Clock,2410017I17Rik,4.006493e-05,4.006493e-05,0.0013893005792879568,2.8572037832013577
18,Irf2,2410017I17Rik,2.9416022e-05,2.9416022e-05,0.0037812276169992298,2.4223671788047767
19,Rxra,2410017I17Rik,0.00022249804,0.00022249804,1.952564187853502e-12,11.709394680384143
20,Mlx,2410017I17Rik,-3.197218e-05,3.197218e-05,2.2811472793345965e-07,6.641846674154549
21,Egr4,2410017I17Rik,-2.954698e-06,2.954698e-06,0.024683184094973012,1.60759881766631
22,Arntl,2410017I17Rik,0.00026566882,0.00026566882,8.160560172518675e-16,15.088280028564308
24,Zbtb7b,2410017I17Rik,-3.9952698e-05,3.9952698e-05,1.589259919540419e-05,4.798805069192316
25,Sp9,2410017I17Rik,-1.4600586e-06,1.4600586e-06,0.009266596773907268,2.0330797344297378
27,Bclaf1,2410017I17Rik,5.444059e-05,5.444059e-05,4.599110087800879e-05,4.3373261946981465
29,Nr3c1,2410017I17Rik,4.6474113e-05,4.6474113e-05,0.0008270824342680212,3.0824512027043407
30,Klf13,2410017I17Rik,-4.608401e-05,4.608401e-05,3.853645073885668e-05,4.41412828696938
31,Sp1,2410017I17Rik,-2.262059e-05,2.262059e-05,0.04599572013200357,1.3372825772212054
32,Usf2,2410017I17Rik,-0.0001400495,0.0001400495,4.433726843008538e-12,11.353231066798518
35,Rxrg,2410017I17Rik,-1.5105913e-05,1.5105913e-05,1.6651420968506812e-07,6.778548699548085
36,Pou2f2,2410017I17Rik,3.6128044e-05,3.6128044e-05,0.0005125800868507111,3.2902382696672587
37,Smad1,2410017I17Rik,-9.925243e-05,9.925243e-05,2.5026817588249017e-09,8.601594371795416
38,Mycn,2410017I17Rik,-1.6655515e-05,1.6655515e-05,4.909573226159337e-06,5.308956258096897
40,E2f4,2410017I17Rik,3.6031422e-05,3.6031422e-05,6.453019534040628e-07,6.190237020230979
41,Bhlhe41,2410017I17Rik,-3.6993115e-05,3.6993115e-05,4.0773132619311147e-05,4.389625920212885
42,Nfkb2,2410017I17Rik,3.1958265e-05,3.1958265e-05,2.9808653620567033e-05,4.525657639477713
44,Npas2,2410017I17Rik,-0.00013790857,0.00013790857,2.5445818749788625e-10,9.594383570619156
45,Atf3,2410017I17Rik,-4.5843062e-05,4.5843062e-05,1.2224252514721336e-06,5.912777687513691
48,Elf1,2410017I17Rik,0.00012434067,0.00012434067,9.895437256340524e-12,11.004565010571255
50,E2f7,2410017I17Rik,-7.743959e-05,7.743959e-05,3.3840387952211814e-06,5.470564666775477
51,Stat1,2410017I17Rik,-7.394986e-05,7.394986e-05,1.8256977832355489e-09,8.738571111761118
52,Arnt,2410017I17Rik,-4.221996e-05,4.221996e-05,3.266911263861707e-06,5.485862661710232
55,Nr2c1,2410017I17Rik,-3.4966743e-05,3.4966743e-05,2.94956037325608e-07,6.530242710020811
56,Mlxip,2410017I17Rik,0.00015089515,0.00015089515,5.561009278257027e-13,12.254846380324562
57,Bhlhe40,2410017I17Rik,2.8318931e-05,2.8318931e-05,0.004821945991924857,2.3167776582348756
58,E4f1,2410017I17Rik,6.272602e-05,6.272602e-05,1.0407096517249804e-15,14.982670417695928
60,Smarcc1,4930447M23Rik,-0.0004122337,0.0004122337,2.4401265768992132e-08,7.612587644881326
61,Nfatc3,4930447M23Rik,-0.00028111562,0.00028111562,5.967035995903328e-08,7.224241342284102
62,Mef2a,4930447M23Rik,0.0002479141,0.0002479141,2.3166390897046728e-08,7.635141619882227
64,Atf7,4930447M23Rik,0.00025700347,0.00025700347,1.0083972938671705e-07,6.996368328465774
65,Cebpg,4930447M23Rik,-0.00090217113,0.00090217113,2.848931457574286e-16,15.5453179993233
66,Maf,4930447M23Rik,8.9695284e-05,8.9695284e-05,0.00789367633816653,2.102720684810278
67,Prdm1,4930447M23Rik,-7.7534685e-05,7.7534685e-05,0.045219627518260155,1.344673019333217
68,Smarcc2,4930447M23Rik,0.0004096054,0.0004096054,4.0394119173257586e-07,6.393681857575252
69,Zbtb16,4930447M23Rik,-2.8071894e-05,2.8071894e-05,0.0070839447145210135,2.149724836848443
70,Sox21,4930447M23Rik,-1.5687347e-05,1.5687347e-05,8.972423355427721e-10,9.047090242825536
71,Nfatc1,4930447M23Rik,-0.00036955348,0.00036955348,1.0356700987221714e-10,9.984778562275473
72,Nfatc4,4930447M23Rik,2.3533134e-05,2.3533134e-05,1.1234573133322988e-06,5.949443424300859
74,Junb,4930447M23Rik,-0.00016496907,0.00016496907,2.2751210220497385e-05,4.642995496672603
75,Hivep3,4930447M23Rik,0.00017085212,0.00017085212,2.399830847333615e-09,8.619819368562789
76,Mef2c,4930447M23Rik,0.0001246015,0.0001246015,4.348665450821874e-09,8.361644001957712
77,Fli1,4930447M23Rik,0.00026345055,0.00026345055,2.7314649424478247e-08,7.563604369156049
78,Hivep2,4930447M23Rik,0.00019533622,0.00019533622,7.214700232870535e-13,12.141781708910717
79,Elf5,4930447M23Rik,3.9737875e-05,3.9737875e-05,7.961258413813691e-08,7.0990182791242225
80,Nr3c1,4930447M23Rik,-0.00046716674,0.00046716674,8.611368246352995e-08,7.064927838716959
81,Jund,4930447M23Rik,-0.0002049806,0.0002049806,1.33318120249333e-10,9.875110818407077
82,Jun,4930447M23Rik,-0.00011206873,0.00011206873,3.879648891494403e-05,4.411207576309465
83,Cebpb,4930447M23Rik,0.00014446862,0.00014446862,5.842178604424673e-08,7.233425170106324
84,Fos,4930447M23Rik,0.00020372316,0.00020372316,5.224293652670227e-06,5.281972419759401
85,Foxa3,4930447M23Rik,-0.00010918286,0.00010918286,2.276551602983417e-11,10.642722501017136
86,Foxj2,4930447M23Rik,7.838719e-05,7.838719e-05,0.021014435179972944,1.6774822783455543
88,Foxj3,4930447M23Rik,-8.021561e-05,8.021561e-05,0.01149156172151013,1.9396209459901652
89,Atf1,4930447M23Rik,0.00057574426,0.00057574426,5.1896337456165914e-14,13.284863291066841
90,Creb1,4930447M23Rik,-9.699468e-05,9.699468e-05,0.00417247440819365,2.379606318378941
92,Elf1,4930447M23Rik,0.00022635162,0.00022635162,1.0025893708807612e-05,4.998876903944292
93,Tcf7l2,4930447M23Rik,0.00094280456,0.00094280456,2.3681871930350666e-11,10.625583971843946
95,Mef2a,A930018P22Rik,-4.380778e-05,4.380778e-05,5.684822478507326e-07,6.245283092596024
96,Tfdp1,A930018P22Rik,-9.408271e-06,9.408271e-06,0.015811205040630338,1.8010350293370752
98,Rara,A930018P22Rik,-4.3944554e-05,4.3944554e-05,8.941050396360034e-05,4.048611457205672
99,Egr1,A930018P22Rik,-1.617522e-05,1.617522e-05,0.004494469400944058,2.347321571971632
101,Mafk,A930018P22Rik,-3.7430615e-05,3.7430615e-05,1.5547375600412315e-09,8.808342909431348
102,Sp2,A930018P22Rik,-2.0201449e-05,2.0201449e-05,4.265675067307524e-07,6.370012229489001
103,Irf8,A930018P22Rik,2.4119277e-05,2.4119277e-05,4.761728055099871e-05,4.322235411018905
104,Sp3,A930018P22Rik,2.1875372e-05,2.1875372e-05,0.002192814575937823,2.6589980906442574
105,Rest,A930018P22Rik,1.579673e-05,1.579673e-05,0.00020156070117773655,3.6955941395150576
106,Mbd1,A930018P22Rik,-1.7319322e-05,1.7319322e-05,1.0524965463179324e-05,4.977779320592081
107,Zbtb7a,A930018P22Rik,3.42756e-05,3.42756e-05,6.93082447991273e-07,6.159215099330741
108,Setdb1,A930018P22Rik,-1.1195571e-05,1.1195571e-05,0.00019316237551864616,3.7140774622678814
109,Irf2,A930018P22Rik,1.5444291e-05,1.5444291e-05,0.00019465717118044226,3.710729592219507
110,Rxra,A930018P22Rik,-1.4946873e-05,1.4946873e-05,0.04451030212566015,1.3515394578167421
111,Stat2,A930018P22Rik,1.7687844e-05,1.7687844e-05,8.54075916168825e-06,5.068503524500849
112,Zic5,A930018P22Rik,5.2484284e-06,5.2484284e-06,3.1862685685962637e-12,11.496717620580222
113,Nrf1,A930018P22Rik,2.0353878e-05,2.0353878e-05,6.510464847266213e-05,4.186388001693661
114,Zbtb7b,A930018P22Rik,-3.602023e-05,3.602023e-05,1.8331940850429877e-06,5.736791552713164
115,Mef2c,A930018P22Rik,4.9940267e-05,4.9940267e-05,3.446467618337274e-18,17.46262579761184
116,Pbx3,A930018P22Rik,3.0299438e-05,3.0299438e-05,7.794862735560006e-06,5.108191528161314
117,Sp9,A930018P22Rik,3.1609786e-06,3.1609786e-06,3.5221390627417194e-06,5.453193501012383
118,Nhlh1,A930018P22Rik,-8.58281e-06,8.58281e-06,9.537521097113761e-05,4.020564488371274
120,Bclaf1,A930018P22Rik,3.0858777e-05,3.0858777e-05,4.495135630387013e-06,5.3472571998951555
121,Klf13,A930018P22Rik,-2.1732902e-05,2.1732902e-05,0.0008109756639153866,3.0909921780771756
122,Sp1,A930018P22Rik,5.887064e-05,5.887064e-05,3.812818804048142e-09,8.418753833140137
123,Gata2,A930018P22Rik,-6.067278e-06,6.067278e-06,7.751212537754908e-06,5.110630354620724
124,Mbd2,A930018P22Rik,-3.540553e-05,3.540553e-05,3.762704121811473e-07,6.424499930847464
125,Fos,A930018P22Rik,2.0834574e-05,2.0834574e-05,7.110864244718091e-05,4.148077612504805
126,Smad1,A930018P22Rik,-9.756531e-05,9.756531e-05,6.937403993749494e-10,9.158803013998757
127,E2f4,A930018P22Rik,-1.9887564e-05,1.9887564e-05,1.0131749927273125e-07,6.994315538043121
128,Atf3,A930018P22Rik,-6.24825e-05,6.24825e-05,2.329311890665091e-10,9.632772356323205
129,Elf1,A930018P22Rik,1.5807022e-05,1.5807022e-05,0.019889331780779475,1.701379807564106
131,E2f7,A930018P22Rik,-1.3620879e-05,1.3620879e-05,0.007142792164880604,2.1461319864369397
