,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,4.8740796e-05,4.8740796e-05,0.00027013309683019223,3.5684222025946872
1,Maz,2410017I17Rik,-6.8148904e-05,6.8148904e-05,0.00051013107091693,3.2923182237794975
3,Irf3,2410017I17Rik,5.584659e-05,5.584659e-05,9.057134121796108e-08,7.043009200996925
4,Tfdp1,2410017I17Rik,-5.6907684e-05,5.6907684e-05,5.0401473116108865e-06,5.297556769966225
5,Nr4a3,2410017I17Rik,0.000416377,0.000416377,5.283298435201035e-15,14.277094856831447
6,Mnt,2410017I17Rik,9.8289864e-05,9.8289864e-05,5.219592142500199e-08,7.282363431323761
7,Egr1,2410017I17Rik,-0.00026737156,0.00026737156,3.9497467805735547e-10,9.403430746227896
8,Nr2c2,2410017I17Rik,-9.407794e-05,9.407794e-05,4.669257028290298e-07,6.3307522188308605
9,Sp2,2410017I17Rik,6.113118e-05,6.113118e-05,3.7670743069032506e-06,5.423995813096502
10,Nfkb1,2410017I17Rik,5.4820026e-05,5.4820026e-05,0.00012386582467990612,3.90704850153568
11,Sp3,2410017I17Rik,0.00012972903,0.00012972903,1.0558815181950478e-07,6.976384811803116
12,Gabpa,2410017I17Rik,-4.3740707e-05,4.3740707e-05,0.0006479501728065743,3.188458389973812
13,Prdm1,2410017I17Rik,-0.00015352543,0.00015352543,1.2797660439506125e-08,7.892869417155297
14,Mbd1,2410017I17Rik,5.6133158e-05,5.6133158e-05,9.68932190536575e-07,6.013706615422142
16,Setdb1,2410017I17Rik,-7.9041434e-05,7.9041434e-05,9.507585758608971e-08,7.021929748554015
17,Clock,2410017I17Rik,0.00016391044,0.00016391044,1.8622404481460906e-10,9.729964244642987
19,Rxra,2410017I17Rik,0.00013609361,0.00013609361,4.9203367366229764e-08,7.30800517409182
20,Mlx,2410017I17Rik,2.080499e-05,2.080499e-05,0.0046542091517608455,2.3321541042004195
21,Egr4,2410017I17Rik,-3.7689046e-05,3.7689046e-05,0.00018314574325611863,3.737203170921698
22,Arntl,2410017I17Rik,-0.00010421788,0.00010421788,6.474141729172758e-09,8.188817797438247
24,Zbtb7b,2410017I17Rik,-9.1701266e-05,9.1701266e-05,1.1903591608290508e-06,5.924321981437675
25,Sp9,2410017I17Rik,1.0504669e-05,1.0504669e-05,2.3757159581729595e-08,7.624205485059607
26,Yy1,2410017I17Rik,5.4665783e-05,5.4665783e-05,2.3331073830745707e-05,4.632065272006293
27,Bclaf1,2410017I17Rik,-9.0818765e-05,9.0818765e-05,2.457278593011421e-06,5.60954560275939
28,Gcm1,2410017I17Rik,3.393485e-06,3.393485e-06,0.00026010793227858065,3.5848464033124423
29,Nr3c1,2410017I17Rik,4.2864827e-05,4.2864827e-05,0.013443431040341732,1.8714898762433814
30,Klf13,2410017I17Rik,-0.0001548312,0.0001548312,1.7501961744945894e-08,7.756913269756255
32,Usf2,2410017I17Rik,9.429909e-05,9.429909e-05,3.5360227693434333e-06,5.451484947118136
33,Id3,2410017I17Rik,-2.5293208e-05,2.5293208e-05,0.0005626748530256077,3.2497424938317114
34,Mbd2,2410017I17Rik,-0.00011161451,0.00011161451,2.989525655048424e-08,7.5243977152666925
36,Pou2f2,2410017I17Rik,0.00020810564,0.00020810564,3.0957269533338997e-06,5.509237351571121
37,Smad1,2410017I17Rik,-0.00014315786,0.00014315786,9.539082366986065e-09,8.020493401199694
38,Mycn,2410017I17Rik,-9.681809e-06,9.681809e-06,0.005392192396215622,2.268234620344381
39,Nr4a2,2410017I17Rik,0.0002640436,0.0002640436,9.5413518496801e-08,7.020390088685497
40,E2f4,2410017I17Rik,2.7175127e-05,2.7175127e-05,0.0052492003489420114,2.2799068509736267
41,Bhlhe41,2410017I17Rik,-0.00010951893,0.00010951893,1.143036206928563e-08,7.941940012631635
42,Nfkb2,2410017I17Rik,-0.00019443671,0.00019443671,1.6795359203946906e-10,9.774810703425544
43,Irf9,2410017I17Rik,2.8780256e-05,2.8780256e-05,0.020384538970385883,1.6906991063791812
44,Npas2,2410017I17Rik,-1.8692e-05,1.8692e-05,0.018035042852391686,1.7438828214334952
45,Atf3,2410017I17Rik,-0.00023094009,0.00023094009,1.3327430775568285e-10,9.875253564579909
46,Usf1,2410017I17Rik,5.1224826e-05,5.1224826e-05,0.00010381720939954463,3.983730649110293
47,Esrra,2410017I17Rik,2.2041435e-05,2.2041435e-05,0.018636824038176517,1.7296280952123877
48,Elf1,2410017I17Rik,6.892459e-05,6.892459e-05,6.449183827380167e-06,5.190495243766797
49,Egr2,2410017I17Rik,-8.7408116e-05,8.7408116e-05,1.1226784395118301e-06,5.949744617686395
51,Stat1,2410017I17Rik,8.086088e-05,8.086088e-05,0.0002001704106986366,3.6986001197639955
52,Arnt,2410017I17Rik,4.0327206e-05,4.0327206e-05,0.014192834942040084,1.84793084790309
53,Nr4a1,2410017I17Rik,7.7860495e-05,7.7860495e-05,0.001281883152848494,2.892151560141598
54,Tcf7l2,2410017I17Rik,-9.627705e-05,9.627705e-05,1.5197600747752052e-06,5.818224968914223
56,Mlxip,2410017I17Rik,-2.7550032e-05,2.7550032e-05,0.026240389527732947,1.5810297223265095
57,Bhlhe40,2410017I17Rik,7.1821676e-05,7.1821676e-05,4.3990346812132646e-05,4.356642614108572
58,E4f1,2410017I17Rik,8.424687e-05,8.424687e-05,2.2983653138729592e-12,11.638580941187376
59,Zbtb1,2410017I17Rik,-6.3313506e-05,6.3313506e-05,0.00013889913650292257,3.8573004541413014
60,Smarcc1,4930447M23Rik,2.4498933e-05,2.4498933e-05,0.0016122191991775443,2.7925759113389894
