,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,4.7579113e-05,4.7579113e-05,0.002826423339787699,2.5487627892799916
1,Maz,2410017I17Rik,-9.0321024e-05,9.0321024e-05,0.0002368418279365926,3.625541595708126
2,Gtf2i,2410017I17Rik,4.4980923e-05,4.4980923e-05,0.011420195780359825,1.9423264507660802
3,Irf3,2410017I17Rik,-3.6429446e-05,3.6429446e-05,0.0036011344485896175,2.4435606639132037
4,Tfdp1,2410017I17Rik,3.893681e-05,3.893681e-05,0.0047852151943884565,2.3200985269291476
5,Nr4a3,2410017I17Rik,0.0004888107,0.0004888107,1.0130951013815916e-17,16.994349784583815
7,Egr1,2410017I17Rik,-0.00031719005,0.00031719005,4.084075553443038e-10,9.388906232270756
8,Nr2c2,2410017I17Rik,-7.113693e-05,7.113693e-05,0.00328764032844742,2.4831157008383995
9,Sp2,2410017I17Rik,0.0001023028,0.0001023028,2.0734114672428267e-06,5.683314503877861
10,Nfkb1,2410017I17Rik,-0.00017408839,0.00017408839,9.448533755781732e-05,4.024635581033505
11,Sp3,2410017I17Rik,0.0002867617,0.0002867617,1.4923506134514208e-09,8.826129131555907
12,Gabpa,2410017I17Rik,-0.0003308545,0.0003308545,1.1951677395967327e-13,12.922571138005425
13,Prdm1,2410017I17Rik,4.7156896e-05,4.7156896e-05,0.03142667390665985,1.5027015808157622
14,Mbd1,2410017I17Rik,0.00031671708,0.00031671708,1.9420615219587416e-15,14.711737016331213
15,Max,2410017I17Rik,0.000101594705,0.000101594705,0.0001000614593251482,3.999733167530587
16,Setdb1,2410017I17Rik,-0.00016888425,0.00016888425,1.6790528441805985e-09,8.774935635264642
17,Clock,2410017I17Rik,0.000272899,0.000272899,9.409165231462612e-09,8.02644890488845
19,Rxra,2410017I17Rik,0.0004355702,0.0004355702,1.2018480825456075e-09,8.920150425080216
20,Mlx,2410017I17Rik,4.7550842e-05,4.7550842e-05,0.00046150892714510663,3.3358198938312187
21,Egr4,2410017I17Rik,1.1045312e-05,1.1045312e-05,0.0015963682585874845,2.7968669161030926
22,Arntl,2410017I17Rik,-0.0002694847,0.0002694847,1.9854447369939833e-14,13.702142196614492
23,Nrf1,2410017I17Rik,-0.00012902632,0.00012902632,1.8524042979439512e-07,6.732264220027973
24,Zbtb7b,2410017I17Rik,-0.00039017526,0.00039017526,2.188964179357598e-12,11.659761345254644
25,Sp9,2410017I17Rik,1.2252352e-05,1.2252352e-05,0.0001668561591686783,3.7776577575821566
26,Yy1,2410017I17Rik,0.00028623408,0.00028623408,1.2170901221771728e-07,6.914677262266961
27,Bclaf1,2410017I17Rik,-0.00011350511,0.00011350511,2.8775900883136044e-06,5.540971071088253
28,Gcm1,2410017I17Rik,-4.491471e-06,4.491471e-06,0.019729459444302194,1.7048848135604149
29,Nr3c1,2410017I17Rik,-8.649445e-05,8.649445e-05,0.002304174480606859,2.6374846376204975
30,Klf13,2410017I17Rik,-0.00014989161,0.00014989161,0.00035845104725900305,3.4455701464311277
31,Sp1,2410017I17Rik,7.162341e-05,7.162341e-05,0.008868854353838898,2.0521324771175746
32,Usf2,2410017I17Rik,0.0002736275,0.0002736275,6.624343604659856e-10,9.17885714878696
33,Id3,2410017I17Rik,-4.080524e-05,4.080524e-05,2.565977246944309e-05,4.590747198923812
34,Mbd2,2410017I17Rik,-0.00019991025,0.00019991025,1.676349703488586e-08,7.775635378036866
