,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,3.5639416e-05,3.5639416e-05,2.8833817977589133e-06,5.540097847489863
2,Gtf2i,2410017I17Rik,2.268501e-05,2.268501e-05,0.007987034035417178,2.0976144648898805
3,Irf3,2410017I17Rik,2.6343165e-05,2.6343165e-05,0.0020062984943922,2.6976044527595127
5,Nr4a3,2410017I17Rik,0.0003971199,0.0003971199,7.034826780888317e-18,17.152746591765915
6,Mnt,2410017I17Rik,3.6378577e-05,3.6378577e-05,0.0006626800264356785,3.1786961191018155
7,Egr1,2410017I17Rik,-0.00029241992,0.00029241992,7.436316297443453e-15,14.128642146157683
8,Nr2c2,2410017I17Rik,-7.878675e-05,7.878675e-05,3.3098049813512686e-06,5.480197594749404
9,Sp2,2410017I17Rik,1.6415715e-05,1.6415715e-05,0.010031091862629708,1.9986517923926557
11,Sp3,2410017I17Rik,0.000102160026,0.000102160026,2.5477955035345824e-07,6.593835433185431
12,Gabpa,2410017I17Rik,-6.774589e-05,6.774589e-05,1.3826747715748664e-06,5.859279961265009
13,Prdm1,2410017I17Rik,-6.239312e-05,6.239312e-05,5.002101649745644e-05,4.30084748704073
14,Mbd1,2410017I17Rik,9.4629126e-05,9.4629126e-05,3.0351801394980916e-12,11.517815528223535
15,Max,2410017I17Rik,2.121901e-05,2.121901e-05,0.00028314972986828935,3.547983848364725
16,Setdb1,2410017I17Rik,-2.6221293e-05,2.6221293e-05,0.0013855842297342508,2.858367068296106
17,Clock,2410017I17Rik,0.00011928498,0.00011928498,8.526928408682995e-14,13.069207383298446
20,Mlx,2410017I17Rik,4.797297e-05,4.797297e-05,1.618847849270628e-06,5.790793967384572
21,Egr4,2410017I17Rik,1.555971e-05,1.555971e-05,0.00011708297683539338,3.9315062441580464
22,Arntl,2410017I17Rik,-0.000117582,0.000117582,2.904360504212625e-13,12.536949477753963
24,Zbtb7b,2410017I17Rik,-7.147961e-05,7.147961e-05,7.128203692758904e-09,8.147019898564722
25,Sp9,2410017I17Rik,5.166948e-06,5.166948e-06,0.0015778938410109928,2.8019222190062045
26,Yy1,2410017I17Rik,-3.4375655e-05,3.4375655e-05,0.0007072214081662421,3.150444601349417
30,Klf13,2410017I17Rik,-7.997971e-05,7.997971e-05,3.0832815816646255e-08,7.510986811381528
31,Sp1,2410017I17Rik,5.6052002e-05,5.6052002e-05,5.549075171346116e-06,5.2557793919132285
32,Usf2,2410017I17Rik,-2.9519288e-05,2.9519288e-05,0.003989985438398265,2.399028689284385
33,Id3,2410017I17Rik,-6.725551e-05,6.725551e-05,7.616584560632786e-12,11.118239731940442
34,Mbd2,2410017I17Rik,-4.4298667e-05,4.4298667e-05,5.569217956606571e-05,4.254205785252771
35,Rxrg,2410017I17Rik,4.6660534e-05,4.6660534e-05,0.002740746341321676,2.562131156967598
36,Pou2f2,2410017I17Rik,0.0001688251,0.0001688251,2.304356308900974e-05,4.637450367685703
