,source,target,coef_mean,coef_abs,p,-logp
2798,Usf2,Ccne2,-0.0023071251,0.0023071251,0.00020935037757807394,3.679126251491518
2799,Gata2,Ccne2,0.0004373174,0.0004373174,0.013551380959448297,1.8680164455638524
2801,Id3,Ccne2,-0.0016279644,0.0016279644,0.00305367870417703,2.5151766595990077
2802,Mbd2,Ccne2,0.0020862075,0.0020862075,0.0011613368118672668,2.9350418075466402
2803,Fos,Ccne2,-0.0027526747,0.0027526747,0.00015098985572292758,3.821052229869398
2805,Foxa3,Ccne2,0.004581072,0.004581072,0.0022247280532826604,2.652723068807493
2806,Mycn,Ccne2,-0.00025702393,0.00025702393,0.04753807289741189,1.322958427718979
2807,Smad1,Ccne2,0.0043682302,0.0043682302,1.6902252381100004e-08,7.7720554177825925
2808,Pura,Ccne2,-0.0032574506,0.0032574506,0.007796951184620932,2.108075184814355
2809,E2f4,Ccne2,0.0016676284,0.0016676284,8.20956056291652e-05,4.085680088947324
2810,Foxo3,Ccne2,-0.005668306,0.005668306,1.5536747880760605e-05,4.8086398816256954
2811,Bhlhe41,Ccne2,-0.003142203,0.003142203,2.3481904021910378e-07,6.629266691381685
2812,Nfkb2,Ccne2,-0.0014162586,0.0014162586,0.0011551272388758444,2.937370174994248
2813,Zfp281,Ccne2,-0.0041753394,0.0041753394,2.0693231463017924e-08,7.684171684444309
2814,Npas2,Ccne2,-0.0017764637,0.0017764637,0.0008070582901433013,3.0930950970333617
2815,Atf3,Ccne2,-0.000826433,0.000826433,0.047543388534999086,1.3229098682618663
2817,Ctcf,Ccne2,0.010191549,0.010191549,3.373702203582849e-06,5.471893255193415
2818,Stat3,Ccne2,-0.0020190435,0.0020190435,0.0018230380531108579,2.7392042660221585
2820,Creb1,Ccne2,-0.000919322,0.000919322,0.0175831114525053,1.7549042710661735
2822,E2f7,Ccne2,0.027705232,0.027705232,3.91065522279132e-06,5.407750471299109
2823,Stat1,Ccne2,0.0045063403,0.0045063403,9.067053536158251e-08,7.042533819983152
2824,Egr2,Ccne2,-0.001792718,0.001792718,0.00011397422002466456,3.943193371182532
2825,Arnt,Ccne2,-0.00798173,0.00798173,5.1576342982776195e-09,8.287549454728241
2826,Mtf1,Ccne2,0.0011667308,0.0011667308,0.007291613792985643,2.137176342213585
2827,Tcf7l2,Ccne2,-0.0015252631,0.0015252631,0.0072874009306630036,2.1374273362547256
2828,Mlxip,Ccne2,-0.0052978466,0.0052978466,5.673830129415574e-07,6.246123670824589
2829,Bhlhe40,Ccne2,-0.0018718184,0.0018718184,0.0009801422537758346,3.0087108880356586
2830,Zbtb1,Ccne2,-0.0016425465,0.0016425465,0.03132789411330116,1.5040687977678757
2831,Mef2a,Ccrl2,0.013356722,0.013356722,0.00461405447218651,2.335917282630189
2833,Patz1,Ccrl2,-0.054731295,0.054731295,2.4267415441312276e-13,12.614976474980258
2834,Rfx5,Ccrl2,-0.02896279,0.02896279,9.670370394249598e-07,6.014556891263632
2835,Maz,Ccrl2,-0.0147243515,0.0147243515,0.007766574903615779,2.1097704649067857
2837,Irf3,Ccrl2,-0.019359024,0.019359024,9.848178063007476e-05,4.006644107611015
2838,Tfdp1,Ccrl2,-0.016104842,0.016104842,8.190755140007758e-05,4.0866760569672635
2839,Klf4,Ccrl2,-0.038919933,0.038919933,5.834764352388346e-12,11.233976679040031
2840,Atf7,Ccrl2,-0.016952401,0.016952401,2.6749067637012623e-05,4.572691351106581
2841,Egr1,Ccrl2,0.08167245,0.08167245,1.9221357559960466e-12,11.716215942370969
2842,Rara,Ccrl2,-0.02101826,0.02101826,9.93980506876754e-07,6.002622132543202
2844,Nfkb1,Ccrl2,-0.050257064,0.050257064,4.988690535827421e-11,10.302013435878617
2845,Sp2,Ccrl2,0.011168895,0.011168895,0.01370965709216332,1.862973407708204
2846,Epas1,Ccrl2,0.009271137,0.009271137,0.021241200268867163,1.6728209463750356
2847,Rela,Ccrl2,0.010401381,0.010401381,0.010433837631678643,1.981555925924423
2848,Sp3,Ccrl2,0.049188152,0.049188152,1.0432214945556069e-10,9.981623473308167
2849,Rfx3,Ccrl2,-0.005341413,0.005341413,0.03852207354200689,1.4142903439874142
2850,Rest,Ccrl2,0.06411615,0.06411615,4.9864634344023376e-12,11.302207361281374
2851,Zeb1,Ccrl2,-0.044426642,0.044426642,1.193500317349557e-11,10.923177461179101
2852,Maf,Ccrl2,0.015612539,0.015612539,0.0013956590102018735,2.8552206763239165
2853,Rfx2,Ccrl2,-0.038171656,0.038171656,2.1718240697604262e-08,7.663175358008977
2854,Prdm1,Ccrl2,0.01678672,0.01678672,0.00022375524347288832,3.6502267786504454
2855,Zbtb7a,Ccrl2,-0.031594325,0.031594325,2.483386999362922e-07,6.604955596759819
2856,Irf2,Ccrl2,0.015428669,0.015428669,0.0014951000141757596,2.8253297543951987
2857,Cux1,Ccrl2,0.056447588,0.056447588,2.060456203769028e-09,8.686036612230673
2858,Rxra,Ccrl2,-0.018795442,0.018795442,9.322047161631949e-05,4.030488704237085
2859,Egr4,Ccrl2,-0.0013477963,0.0013477963,0.040769416309715825,1.3896655062393852
2860,Zfp148,Ccrl2,0.016282754,0.016282754,6.057874467057733e-05,4.217679730479722
2861,Rel,Ccrl2,0.074662775,0.074662775,2.1569947992609056e-10,9.666150902025416
2862,Stat2,Ccrl2,-0.032631528,0.032631528,2.5613899612493485e-11,10.59152429692163
2863,Junb,Ccrl2,0.081193075,0.081193075,7.588033699229997e-12,11.119870749033094
2865,Pbx3,Ccrl2,-0.033418734,0.033418734,1.7713455085590267e-07,6.751696719540871
2866,Mef2c,Ccrl2,-0.031295825,0.031295825,1.250578232656745e-08,7.9028891348424075
2867,Sp9,Ccrl2,-0.0031532312,0.0031532312,0.012370492955424146,1.9076129936970838
2868,Bclaf1,Ccrl2,-0.03494297,0.03494297,5.55490091194466e-08,7.255323683578103
2870,Jund,Ccrl2,-0.020027025,0.020027025,7.530396986493842e-05,4.123182128115492
2871,Klf13,Ccrl2,-0.029143525,0.029143525,9.842374234976863e-05,4.006900125880331
2872,Sp1,Ccrl2,0.017202754,0.017202754,9.223241415416025e-05,4.0351164236932595
2873,Jun,Ccrl2,0.032952186,0.032952186,2.2716079821954968e-07,6.643666613920007
2875,Fos,Ccrl2,0.050494228,0.050494228,5.5205876820461444e-09,8.258014687943907
2876,Rxrg,Ccrl2,-0.0041690916,0.0041690916,1.4319032352207357e-09,8.844086329674534
2877,Pou2f2,Ccrl2,-0.024418201,0.024418201,4.692787554100121e-05,4.328569106169014
2878,Zfp281,Ccrl2,0.049020786,0.049020786,1.4459461709909072e-09,8.839847874452799
2879,Zfp28,Ccrl2,0.039515894,0.039515894,2.15133255083302e-11,10.667292451616897
2880,Rfx4,Ccrl2,0.014657608,0.014657608,1.174470210444783e-09,8.930157994300187
2881,E2f4,Ccrl2,0.016443312,0.016443312,0.0010224791113057328,2.990345555630958
2882,Pura,Ccrl2,-0.040599715,0.040599715,1.1556252271273473e-06,5.937182986140218
2883,Nfkb2,Ccrl2,0.045353357,0.045353357,3.986273080326879e-09,8.399432953197818
2885,Mecp2,Ccrl2,-0.027500868,0.027500868,1.1055775486777545e-08,7.956410789239382
2886,Stat3,Ccrl2,-0.034749594,0.034749594,9.539270941745179e-09,8.020484815869924
2887,Atf3,Ccrl2,0.009758412,0.009758412,0.02060784278115337,1.6859674675742609
2888,Atf1,Ccrl2,0.0670033,0.0670033,6.337472181745817e-12,11.198083933984572
2889,Creb1,Ccrl2,-0.016382392,0.016382392,0.00010553516985252634,3.9766027865507647
2890,Elf1,Ccrl2,0.017595561,0.017595561,0.00040085899717536645,3.397008364331122
2891,Egr2,Ccrl2,0.031166062,0.031166062,8.004397396092812e-05,4.096671357986109
2892,E2f7,Ccrl2,0.024879243,0.024879243,0.00016169642973679757,3.791299569226102
2893,Stat1,Ccrl2,0.034412634,0.034412634,1.50592458958876e-08,7.822196775243861
2895,Neurog2,Ccrl2,0.004053162,0.004053162,0.0068430002372575835,2.1647534449460157
2896,Cebpa,Ccrl2,-0.029102411,0.029102411,7.761663927477787e-05,4.110045165718874
2898,Zbtb14,Cdc20,0.002417246,0.002417246,0.0185422965009577,1.731836478609608
2899,Zfp3,Cdc20,0.0014882896,0.0014882896,0.001447314303028629,2.839437145972512
2900,Rfx5,Cdc20,0.002292885,0.002292885,7.367982905732966e-05,4.132651390405461
2901,Irf3,Cdc20,-0.0038768535,0.0038768535,7.111634254287146e-06,5.148030586884489
2902,Tfdp1,Cdc20,0.01965459,0.01965459,0.0014062573237861322,2.8519352027336318
2904,Egr1,Cdc20,-0.0027024169,0.0027024169,0.01649164297129971,1.7827360758396829
2905,Ets1,Cdc20,-0.0010766396,0.0010766396,0.03390099470710207,1.4697875587447713
2906,Nfyb,Cdc20,0.01876931,0.01876931,1.613994599136671e-05,4.79209792287855
2908,Rela,Cdc20,-0.0042324746,0.0042324746,0.006585653635041531,2.181401114247527
2909,Nfkb1,Cdc20,-0.0045313,0.0045313,2.9803118451618594e-07,6.52573829110923
2910,Sp2,Cdc20,0.008042524,0.008042524,0.0006156519890152472,3.2106647130948036
2911,Sp3,Cdc20,0.005951326,0.005951326,9.890630105318668e-05,4.004776039793525
