,source,target,coef_mean,coef_abs,p,-logp
0,Zbtb14,2410017I17Rik,6.906165e-05,6.906165e-05,5.335986551713286e-05,4.272785273642495
1,Maz,2410017I17Rik,6.5100445e-05,6.5100445e-05,0.01125349022494021,1.948712761965913
2,Gtf2i,2410017I17Rik,-9.1232054e-05,9.1232054e-05,6.639880705299522e-07,6.177839723266854
3,Irf3,2410017I17Rik,-0.000117098476,0.000117098476,7.631372915725129e-10,9.117397323632744
4,Tfdp1,2410017I17Rik,5.912471e-05,5.912471e-05,0.002672830428546214,2.5730285931636656
5,Nr4a3,2410017I17Rik,8.236544e-05,8.236544e-05,7.501504434296036e-10,9.124851629676032
6,Mnt,2410017I17Rik,-5.092223e-05,5.092223e-05,0.005421165565210947,2.265907328937907
7,Egr1,2410017I17Rik,-8.002151e-05,8.002151e-05,7.302453067427098e-08,7.136531225538655
10,Nfkb1,2410017I17Rik,0.00022529594,0.00022529594,1.4795033728995164e-08,7.829884040418875
11,Sp3,2410017I17Rik,-0.00016119721,0.00016119721,1.5396032321603172e-07,6.812591185841985
13,Prdm1,2410017I17Rik,-9.554934e-05,9.554934e-05,6.04355474687929e-09,8.218707539385363
15,Max,2410017I17Rik,0.00013688517,0.00013688517,7.787364666667203e-07,6.108609487688197
16,Setdb1,2410017I17Rik,8.9605e-05,8.9605e-05,1.9447544691741927e-09,8.711135221800404
17,Clock,2410017I17Rik,-8.953384e-05,8.953384e-05,0.0002725544393177926,3.5645467398680974
18,Irf2,2410017I17Rik,6.27197e-05,6.27197e-05,0.007199763070187501,2.1426817950969568
19,Rxra,2410017I17Rik,0.0002550232,0.0002550232,1.9225752534337312e-10,9.716116652040766
20,Mlx,2410017I17Rik,-2.700496e-05,2.700496e-05,0.02654098525537986,1.5760829592774406
21,Egr4,2410017I17Rik,-2.4611498e-05,2.4611498e-05,2.333611578496407e-06,5.63197142907632
25,Sp9,2410017I17Rik,1.1974305e-05,1.1974305e-05,0.00018558641763801907,3.731453811310624
26,Yy1,2410017I17Rik,-4.5621466e-05,4.5621466e-05,0.0002755957468119873,3.559727489051558
27,Bclaf1,2410017I17Rik,0.00027657553,0.00027657553,6.774228873689615e-12,11.169140134396246
28,Gcm1,2410017I17Rik,1.01927435e-05,1.01927435e-05,9.247269802840151e-05,4.033986470999388
29,Nr3c1,2410017I17Rik,-9.1276845e-05,9.1276845e-05,0.0005458451782312426,3.2629305217175473
30,Klf13,2410017I17Rik,-0.0002546329,0.0002546329,1.2401886947063944e-09,8.906512231906184
31,Sp1,2410017I17Rik,-9.778085e-05,9.778085e-05,7.914031851984596e-05,4.101602206140586
33,Id3,2410017I17Rik,-0.0001016632,0.0001016632,2.5294606797247907e-08,7.59697206727786
34,Mbd2,2410017I17Rik,0.00012597269,0.00012597269,3.3612688016735384e-08,7.473496755481849
35,Rxrg,2410017I17Rik,-1.2128513e-05,1.2128513e-05,7.328193238418382e-05,4.135003087201518
37,Smad1,2410017I17Rik,-7.036767e-05,7.036767e-05,6.21718473781346e-05,4.206406227786905
39,Nr4a2,2410017I17Rik,-7.3863135e-05,7.3863135e-05,4.2287668189120366e-06,5.373786261897746
41,Bhlhe41,2410017I17Rik,-0.00023847482,0.00023847482,2.991836793163326e-09,8.524062101235991
42,Nfkb2,2410017I17Rik,-0.00012100879,0.00012100879,5.151042982551493e-06,5.28810482616154
43,Irf9,2410017I17Rik,0.0002497135,0.0002497135,2.330638295284378e-06,5.6325251218251955
44,Npas2,2410017I17Rik,-3.8786886e-05,3.8786886e-05,0.00014612977366879425,3.8352612883594257
46,Usf1,2410017I17Rik,6.668519e-05,6.668519e-05,0.0009402914767799335,3.026737500511932
47,Esrra,2410017I17Rik,-0.00010805669,0.00010805669,1.0873291798479155e-05,4.963638956972404
48,Elf1,2410017I17Rik,-6.156435e-05,6.156435e-05,0.002285819334711956,2.640958098104474
49,Egr2,2410017I17Rik,-0.0001151472,0.0001151472,4.262374985083205e-05,4.370348345614629
50,E2f7,2410017I17Rik,-0.0001385928,0.0001385928,3.696161906210107e-08,7.432249013254534
51,Stat1,2410017I17Rik,-0.00032758893,0.00032758893,2.6054145098052424e-09,8.584123172556312
53,Nr4a1,2410017I17Rik,4.3583652e-05,4.3583652e-05,0.011762655908177717,1.929494607168297
54,Tcf7l2,2410017I17Rik,3.5626275e-05,3.5626275e-05,0.04523361624730345,1.3445386907535473
55,Nr2c1,2410017I17Rik,-6.429507e-05,6.429507e-05,2.2983123894336416e-09,8.63859094179801
57,Bhlhe40,2410017I17Rik,0.0002994185,0.0002994185,2.128373802936296e-11,10.671952095222897
58,E4f1,2410017I17Rik,8.090514e-05,8.090514e-05,3.934579434586765e-10,9.405101682364522
59,Zbtb1,2410017I17Rik,9.356406e-05,9.356406e-05,3.086571402273033e-05,4.51052367195963
60,Smarcc1,4930447M23Rik,-0.00015802328,0.00015802328,3.25000867940476e-07,6.488115479201876
61,Nfatc3,4930447M23Rik,0.00014863657,0.00014863657,7.85343687393219e-09,8.104940242779346
62,Mef2a,4930447M23Rik,-0.00011749558,0.00011749558,1.0956475724426374e-08,7.960329119170186
63,Nfat5,4930447M23Rik,6.4499895e-05,6.4499895e-05,1.3840172394130441e-05,4.858858500243909
